"new_class","length_kilometer","nb_entity"
"alley","143.63","3976"
"bridleway","0.02","1"
"crosswalk","43.17","5968"
"cycleway","10.55","181"
"driveway","12.77","461"
"footway","686.37","25806"
"living_street","0.16","7"
"motorway","72.26","195"
"parking_aisle","15.17","566"
"path","34.26","1026"
"pedestrian","27.64","762"
"primary","104.20","2544"
"residential","689.98","20722"
"secondary","131.70","3405"
"sidewalk","348.45","8817"
"steps","18.89","1833"
"tertiary","233.89","7463"
"track","0","0"
"trunk","58.90","1439"
"unclassified","392.86","12468"
"unknown","127.86","3566"
