"class","length_kilometer","nb_entity"
"bridleway","0.02","1"
"busway","0.17","10"
"corridor","0.13","15"
"cycleway","11.23","191"
"elevator","0.05","8"
"footway","1097.29","47834"
"living_street","0.16","7"
"motorway","63.21","176"
"motorway_link","23.98","207"
"path","34.48","1047"
"pedestrian","27.75","799"
"primary","103.18","2647"
"primary_link","2.56","62"
"residential","690.78","20806"
"road","0.13","3"
"secondary","130.65","3521"
"secondary_link","2.00","61"
"service","300.32","8778"
"steps","20.17","2033"
"tertiary","232.71","7553"
"tertiary_link","2.29","74"
"trunk","57.57","1460"
"trunk_link","1.89","50"
"unclassified","393.81","12579"
